_key,_tei_file,study_id,author_name,year_of_publication,program_name,country,year_intervention_started,evaluation_design,intervention_description,exposure_to_intervention,length_of_follow_up,intervention_start_year,intervention_start_month,intervention_end_year,intervention_end_month,final_followup_year,final_followup_month,evaluation_design_code,evaluation_method,evaluation_method_code,sample_size_treatment,sample_size_control,outcome_name,outcome_description,effect_size,p_value,standard_error,confidence_interval_lower,confidence_interval_upper,literal_text,text_position,outcome_timepoint_label,outcome_measurement_year,outcome_measurement_month,months_since_intervention_end,timepoint_value,timepoint_unit,timepoint_origin,months_since_intervention_end_computed,timing_confidence,timing_evidence,outcome_timing_literal_text,outcome_timing_text_position,component_consumption_support,component_healthcare,component_assets,component_skills_training,component_savings,component_coaching,component_social_empowerment
XIPIMS2M.tei,/Users/joshuapolanin/Documents/OM_QEX/data/grobid_outputs/tei/XIPIMS2M.tei.xml,,,,Supporting Women's Livelihoods (SWL),Zambia,2015.0,Randomized Controlled Trial,"Multi-arm RCT providing rural women with: (1) productive grant of US$225, (2) 21-session life/business skills training, (3) support to form savings groups, (4) six months of group mentoring",6,38,2015.0,,,,2023.0,8.0,1,Individual RCT,1,,,Extreme poverty rate,Percentage below 336.73 ZMW/month,,,,,,Poverty rate reduction impacts reported,Table 3,,,,,,,unknown,,low,Timing not reported or not attributable to this estimate.,,,Yes,Not mentioned,Yes,Yes,Yes,Yes,Not mentioned
XP5HHJBR.tei,/Users/joshuapolanin/Documents/OM_QEX/data/grobid_outputs/tei/XP5HHJBR.tei.xml,,,,,,,,,,,,,,,,,,,,,,Food Consumption Score,,,,,,,,,,,,,24.0,months,intervention_end,0.0,high,"Measured at endline survey two years after programme start, consistent with evaluation design",,,,,,,,,
XP5HHJBR.tei,/Users/joshuapolanin/Documents/OM_QEX/data/grobid_outputs/tei/XP5HHJBR.tei.xml,,,,,,,,,,,,,,,,,,,,,,Food Insecurity Experience Scale,,,,,,,,,,,,,24.0,months,intervention_end,0.0,medium,"Measured at endline survey, with some variability in measurement precision",,,,,,,,,
ZBAE7IPZ.tei,/Users/joshuapolanin/Documents/OM_QEX/data/grobid_outputs/tei/ZBAE7IPZ.tei.xml,,,,,,,,,,,,,,,,,1,,1,874.0,874.0,Total asset value,Total asset value in PPP$,290.15,0.01,66.97,,,Total asset value (PPP$): 290.15*** (66.97),"Appendix Table 4, Row [1]",Endline,,,,12.0,months,intervention_end,12.0,high,Endline measurement after intervention end,,,,,Yes,,,,
ZBAE7IPZ.tei,/Users/joshuapolanin/Documents/OM_QEX/data/grobid_outputs/tei/ZBAE7IPZ.tei.xml,,,,,,,,,,,,,,,,,1,,1,874.0,874.0,Household durables,Household durables value in PPP$,64.16,0.1,33.13,,,Household durables (PPP$): 64.16* (33.13),"Appendix Table 4, Row [2]",Endline,,,,12.0,months,intervention_end,12.0,high,Endline measurement after intervention end,,,,,Yes,,,,
ZBAE7IPZ.tei,/Users/joshuapolanin/Documents/OM_QEX/data/grobid_outputs/tei/ZBAE7IPZ.tei.xml,,,,,,,,,,,,,,,,,1,,1,874.0,874.0,Productive capital,Productive capital value in PPP$,227.52,0.01,42.25,,,Productive capital (PPP$): 227.52*** (42.25),"Appendix Table 4, Row [3]",Endline,,,,12.0,months,intervention_end,12.0,high,Endline measurement after intervention end,,,,,Yes,,,,
ZBAE7IPZ.tei,/Users/joshuapolanin/Documents/OM_QEX/data/grobid_outputs/tei/ZBAE7IPZ.tei.xml,,,,,,,,,,,,,,,,,1,,1,874.0,874.0,Monthly food consumption per capita,Monthly food consumption per capita in PPP$,-3.06,0.05,1.38,,,Food -3.06** (1.38),"Appendix Table 5, Panel A, Row [2]",Endline,,,,12.0,months,intervention_end,12.0,high,Endline measurement after intervention end,,,,,Yes,,,,
ZBAE7IPZ.tei,/Users/joshuapolanin/Documents/OM_QEX/data/grobid_outputs/tei/ZBAE7IPZ.tei.xml,,,,,,,,,,,,,,,,,1,,1,874.0,874.0,Non-livestock income,Non-livestock income in PPP$,42.79,,338.43,,,Non-livestock income: 42.79 (338.43),"Appendix Table 7, Row [1]",Endline,,,,12.0,months,intervention_end,12.0,high,Endline measurement after intervention end,,,,,Yes,,,,
ZBAE7IPZ.tei,/Users/joshuapolanin/Documents/OM_QEX/data/grobid_outputs/tei/ZBAE7IPZ.tei.xml,,,,,,,,,,,,,,,,,1,,1,874.0,874.0,Food security index,Food security index (z-score),0.04,,0.07,,,Food security index: 0.04 (0.07),"Appendix Table 8, Row [1]",Endline,,,,12.0,months,intervention_end,12.0,high,Endline measurement after intervention end,,,,,Yes,,,,
ZBAE7IPZ.tei,/Users/joshuapolanin/Documents/OM_QEX/data/grobid_outputs/tei/ZBAE7IPZ.tei.xml,,,,,,,,,,,,,,,,,1,,1,874.0,874.0,Any sheep or goat ownership,Proportion of households owning sheep or goats,0.22,0.01,0.03,,,Any sheep or goat: 0.22*** (0.03),"Appendix Table 9, Row 'Any sheep or goat'",Endline,,,,12.0,months,intervention_end,12.0,high,Endline measurement after intervention end,,,,,Yes,,,,
